Circuit,Team,FastestLap_2025,Driver_2025,Year
Australian Grand Prix,Alpine,85.02,GAS,2025
Australian Grand Prix,Aston Martin,85.538,STR,2025
Australian Grand Prix,Ferrari,84.218,HAM,2025
Australian Grand Prix,Haas F1 Team,86.764,OCO,2025
Australian Grand Prix,Kick Sauber,84.192,BOR,2025
Australian Grand Prix,McLaren,82.167,NOR,2025
Australian Grand Prix,Mercedes,84.901,ANT,2025
Australian Grand Prix,Racing Bulls,84.194,TSU,2025
Australian Grand Prix,Red Bull Racing,82.97,LAW,2025
Australian Grand Prix,Williams,84.597,ALB,2025
Austrian Grand Prix,Alpine,69.621,COL,2025
Austrian Grand Prix,Aston Martin,69.214,STR,2025
Austrian Grand Prix,Ferrari,68.628,HAM,2025
Austrian Grand Prix,Haas F1 Team,69.55,OCO,2025
Austrian Grand Prix,Kick Sauber,69.247,BOR,2025
Austrian Grand Prix,McLaren,67.924,PIA,2025
Austrian Grand Prix,Mercedes,69.372,RUS,2025
Austrian Grand Prix,Racing Bulls,69.977,LAW,2025
Austrian Grand Prix,Red Bull Racing,69.802,TSU,2025
Austrian Grand Prix,Williams,70.641,ALB,2025
Bahrain Grand Prix,Alpine,96.531,GAS,2025
Bahrain Grand Prix,Aston Martin,97.906,ALO,2025
Bahrain Grand Prix,Ferrari,96.132,LEC,2025
Bahrain Grand Prix,Haas F1 Team,97.098,OCO,2025
Bahrain Grand Prix,Kick Sauber,97.338,HUL,2025
Bahrain Grand Prix,McLaren,95.14,PIA,2025
Bahrain Grand Prix,Mercedes,95.518,RUS,2025
Bahrain Grand Prix,Racing Bulls,96.952,HAD,2025
Bahrain Grand Prix,Red Bull Racing,96.167,VER,2025
Bahrain Grand Prix,Williams,96.954,SAI,2025
Belgian Grand Prix,Alpine,106.104,COL,2025
Belgian Grand Prix,Aston Martin,105.849,ALO,2025
Belgian Grand Prix,Ferrari,106.174,LEC,2025
Belgian Grand Prix,Haas F1 Team,106.709,BEA,2025
Belgian Grand Prix,Kick Sauber,105.068,HUL,2025
Belgian Grand Prix,McLaren,105.257,NOR,2025
Belgian Grand Prix,Mercedes,104.861,ANT,2025
Belgian Grand Prix,Racing Bulls,106.649,LAW,2025
Belgian Grand Prix,Red Bull Racing,106.096,VER,2025
Belgian Grand Prix,Williams,106.073,SAI,2025
British Grand Prix,Alpine,90.751,GAS,2025
British Grand Prix,Aston Martin,90.353,ALO,2025
British Grand Prix,Ferrari,90.016,HAM,2025
British Grand Prix,Haas F1 Team,90.818,OCO,2025
British Grand Prix,Kick Sauber,90.933,HUL,2025
British Grand Prix,McLaren,89.337,PIA,2025
British Grand Prix,Mercedes,90.869,RUS,2025
British Grand Prix,Red Bull Racing,90.179,VER,2025
British Grand Prix,Williams,90.047,ALB,2025
Canadian Grand Prix,Alpine,74.993,GAS,2025
Canadian Grand Prix,Aston Martin,74.902,STR,2025
Canadian Grand Prix,Ferrari,74.261,LEC,2025
Canadian Grand Prix,Haas F1 Team,74.593,OCO,2025
Canadian Grand Prix,Kick Sauber,75.372,HUL,2025
Canadian Grand Prix,McLaren,74.229,NOR,2025
Canadian Grand Prix,Mercedes,74.119,RUS,2025
Canadian Grand Prix,Racing Bulls,76.292,HAD,2025
Canadian Grand Prix,Red Bull Racing,74.287,VER,2025
Canadian Grand Prix,Williams,74.389,SAI,2025
Chinese Grand Prix,Alpine,96.424,DOO,2025
Chinese Grand Prix,Aston Martin,96.044,STR,2025
Chinese Grand Prix,Ferrari,95.069,HAM,2025
Chinese Grand Prix,Haas F1 Team,95.74,OCO,2025
Chinese Grand Prix,Kick Sauber,95.874,BOR,2025
Chinese Grand Prix,McLaren,95.454,NOR,2025
Chinese Grand Prix,Mercedes,95.816,RUS,2025
Chinese Grand Prix,Racing Bulls,95.868,HAD,2025
Chinese Grand Prix,Red Bull Racing,95.488,VER,2025
Chinese Grand Prix,Williams,96.254,ALB,2025
Emilia Romagna Grand Prix,Alpine,80.345,COL,2025
Emilia Romagna Grand Prix,Aston Martin,79.894,ALO,2025
Emilia Romagna Grand Prix,Ferrari,78.265,HAM,2025
Emilia Romagna Grand Prix,Haas F1 Team,79.521,BEA,2025
Emilia Romagna Grand Prix,Kick Sauber,80.401,HUL,2025
Emilia Romagna Grand Prix,McLaren,78.311,NOR,2025
Emilia Romagna Grand Prix,Mercedes,79.733,RUS,2025
Emilia Romagna Grand Prix,Racing Bulls,79.473,HAD,2025
Emilia Romagna Grand Prix,Red Bull Racing,77.988,VER,2025
Emilia Romagna Grand Prix,Williams,78.289,ALB,2025
Hungarian Grand Prix,Alpine,80.827,COL,2025
Hungarian Grand Prix,Aston Martin,80.113,ALO,2025
Hungarian Grand Prix,Ferrari,80.022,HAM,2025
Hungarian Grand Prix,Haas F1 Team,81.916,OCO,2025
Hungarian Grand Prix,Kick Sauber,80.013,HUL,2025
Hungarian Grand Prix,McLaren,79.412,PIA,2025
Hungarian Grand Prix,Mercedes,79.409,RUS,2025
Hungarian Grand Prix,Racing Bulls,80.457,LAW,2025
Hungarian Grand Prix,Red Bull Racing,79.576,VER,2025
Hungarian Grand Prix,Williams,79.79,SAI,2025
Japanese Grand Prix,Alpine,91.82,GAS,2025
Japanese Grand Prix,Aston Martin,91.77,ALO,2025
Japanese Grand Prix,Ferrari,91.406,HAM,2025
Japanese Grand Prix,Haas F1 Team,91.967,OCO,2025
Japanese Grand Prix,Kick Sauber,92.034,BOR,2025
Japanese Grand Prix,McLaren,91.039,PIA,2025
Japanese Grand Prix,Mercedes,90.965,ANT,2025
Japanese Grand Prix,Racing Bulls,91.317,HAD,2025
Japanese Grand Prix,Red Bull Racing,91.041,VER,2025
Japanese Grand Prix,Williams,91.106,SAI,2025
Miami Grand Prix,Alpine,91.159,GAS,2025
Miami Grand Prix,Aston Martin,91.287,ALO,2025
Miami Grand Prix,Ferrari,90.461,LEC,2025
Miami Grand Prix,Haas F1 Team,91.122,OCO,2025
Miami Grand Prix,Kick Sauber,91.015,HUL,2025
Miami Grand Prix,McLaren,89.746,NOR,2025
Miami Grand Prix,Mercedes,90.318,RUS,2025
Miami Grand Prix,Racing Bulls,90.971,HAD,2025
Miami Grand Prix,Red Bull Racing,90.466,VER,2025
Miami Grand Prix,Williams,90.482,ALB,2025
Monaco Grand Prix,Alpine,75.298,COL,2025
Monaco Grand Prix,Aston Martin,74.877,STR,2025
Monaco Grand Prix,Ferrari,74.055,LEC,2025
Monaco Grand Prix,Haas F1 Team,74.855,BEA,2025
Monaco Grand Prix,Kick Sauber,74.884,BOR,2025
Monaco Grand Prix,McLaren,73.221,NOR,2025
Monaco Grand Prix,Mercedes,73.405,RUS,2025
Monaco Grand Prix,Racing Bulls,75.321,LAW,2025
Monaco Grand Prix,Red Bull Racing,74.23,VER,2025
Monaco Grand Prix,Williams,73.988,SAI,2025
Saudi Arabian Grand Prix,Alpine,93.15,DOO,2025
Saudi Arabian Grand Prix,Aston Martin,92.745,STR,2025
Saudi Arabian Grand Prix,Ferrari,92.192,LEC,2025
Saudi Arabian Grand Prix,Haas F1 Team,93.238,BEA,2025
Saudi Arabian Grand Prix,Kick Sauber,93.446,HUL,2025
Saudi Arabian Grand Prix,McLaren,91.778,NOR,2025
Saudi Arabian Grand Prix,Mercedes,92.396,ANT,2025
Saudi Arabian Grand Prix,Racing Bulls,92.998,LAW,2025
Saudi Arabian Grand Prix,Red Bull Racing,92.28,VER,2025
Saudi Arabian Grand Prix,Williams,92.466,SAI,2025
Spanish Grand Prix,Alpine,77.896,GAS,2025
Spanish Grand Prix,Aston Martin,78.128,ALO,2025
Spanish Grand Prix,Ferrari,77.259,LEC,2025
Spanish Grand Prix,Haas F1 Team,78.624,OCO,2025
Spanish Grand Prix,Kick Sauber,77.575,HUL,2025
Spanish Grand Prix,McLaren,75.743,PIA,2025
Spanish Grand Prix,Mercedes,77.244,RUS,2025
Spanish Grand Prix,Racing Bulls,77.77,HAD,2025
Spanish Grand Prix,Red Bull Racing,77.019,VER,2025
Spanish Grand Prix,Williams,79.317,SAI,2025
